Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,state_name,county_name
4808,517,7056,1902,7306,1799,14722,4474,8283,1754, Alabama,Autauga
15483,1382,23942,7316,25834,9422,58805,18529,42531,12881, Alabama,Baldwin
2090,51,3642,271,3038,332,6574,906,4710,571, Alabama,Barbour
1694,29,3276,225,2910,302,6398,795,3584,356, Alabama,Bibb
4501,120,6839,1057,7263,1100,15363,1871,10326,1182, Alabama,Blount
1019,46,1271,115,1384,68,2806,323,1640,350, Alabama,Bullock
1554,66,2339,290,2529,564,5051,725,3900,651, Alabama,Butler
10558,723,15129,2696,13694,3301,30547,4877,19738,3746, Alabama,Calhoun
2806,85,4128,616,3836,463,9355,1250,6470,834, Alabama,Chambers
1784,58,2495,305,2871,550,7697,1003,5811,549, Alabama,Cherokee
3374,55,5782,570,5874,768,11338,1343,7052,1142, Alabama,Chilton
993,25,1276,241,1419,182,3712,445,2922,245, Alabama,Choctaw
2071,49,2611,267,2849,402,6631,676,4679,705, Alabama,Clarke
1100,6,1503,58,1544,105,3714,548,2698,288, Alabama,Clay
1052,45,1757,277,1729,311,4096,677,2899,351, Alabama,Cleburne
4110,285,6609,1328,6679,1899,13455,3113,8550,1704, Alabama,Coffee
4259,253,6588,1113,6602,1402,15125,2851,10644,1704, Alabama,Colbert
957,3,1340,114,1316,268,3431,356,2746,390, Alabama,Conecuh
697,24,1089,59,1289,180,3451,487,2430,333, Alabama,Coosa
2713,121,4363,756,4053,621,10182,1546,7726,1097, Alabama,Covington
1048,25,1670,358,1577,370,3834,537,2609,422, Alabama,Crenshaw
6422,271,10328,1580,10141,1558,22141,2910,15116,1956, Alabama,Cullman
4383,353,7146,1513,5832,964,12450,2349,8081,1252, Alabama,Dale
3520,136,4571,471,4383,661,10437,1555,6809,1167, Alabama,Dallas
5810,125,8484,974,8916,1211,18707,2543,11883,1518, Alabama,DeKalb
6822,313,11465,2459,10874,3138,21701,5367,12053,3096, Alabama,Elmore
2910,111,5005,470,4696,567,9592,1330,6566,857, Alabama,Escambia
8547,429,12248,1779,12669,2760,27858,5000,19257,3276, Alabama,Etowah
1308,25,1921,236,1881,307,4466,477,3438,431, Alabama,Fayette
2796,226,4071,660,3653,515,7758,1082,5304,650, Alabama,Franklin
1939,66,2927,385,3021,391,7437,1006,5275,549, Alabama,Geneva
647,39,1002,146,803,86,2215,233,1773,121, Alabama,Greene
1434,14,1630,259,1573,318,3941,460,2777,374, Alabama,Hale
1369,49,1636,208,2128,389,4619,796,3785,683, Alabama,Henry
8150,472,13645,2817,12950,3073,27552,6140,18052,3642, Alabama,Houston
3871,69,5924,801,6262,837,14700,2335,10113,1202, Alabama,Jackson
58760,7598,95535,37995,83537,31123,168886,52827,101785,28179, Alabama,Jefferson
998,28,1456,147,1499,237,3899,509,2983,281, Alabama,Lamar
10641,880,11095,2546,10157,2858,24126,5647,18228,3897, Alabama,Lauderdale
2561,142,3974,642,3796,549,9546,1115,5998,624, Alabama,Lawrence
29709,3256,23055,8676,19465,7575,35839,12138,18696,5884, Alabama,Lee
7202,671,12568,3139,12861,3798,26185,6861,14328,3173, Alabama,Limestone
746,9,1314,261,1055,161,2837,428,1856,187, Alabama,Lowndes
3427,183,2049,396,1663,336,4707,774,3614,944, Alabama,Macon
34829,3640,50436,20586,43930,20611,100243,45315,53151,19423, Alabama,Madison
1826,4,2034,289,2163,428,5166,1001,3729,391, Alabama,Marengo
2320,55,3278,407,3360,574,8346,1132,6288,602, Alabama,Marion
7801,381,11702,2252,11511,1935,24649,4807,16093,3393, Alabama,Marshall
37465,2737,57737,14525,49349,13519,106413,23067,65339,13578, Alabama,Mobile
1804,168,2277,399,2399,170,5942,764,4100,650, Alabama,Monroe
22931,1657,32909,9818,28318,10007,56236,20151,33107,10278, Alabama,Montgomery
9368,351,14607,2304,14798,4098,32661,7906,20412,4168, Alabama,Morgan
1403,0,804,179,1406,513,1901,330,1772,318, Alabama,Perry
1717,110,2516,264,2560,345,5680,939,3739,499, Alabama,Pickens
7565,834,3933,1024,3266,905,7153,1658,4946,993, Alabama,Pike
1975,64,2382,476,2464,293,6308,1119,4622,719, Alabama,Randolph
4863,231,8645,1831,7418,1494,14828,2390,8029,1222, Alabama,Russell
6524,354,11390,2007,11465,2334,24252,3662,14317,1877, Alabama,St. Clair
17380,1725,26300,11158,29716,14572,57695,25345,31716,11356, Alabama,Shelby
2239,43,1536,259,1128,375,3190,732,2234,378, Alabama,Sumter
7137,122,9864,1147,9868,1859,22209,3455,14052,1916, Alabama,Talladega
3405,70,4314,568,4207,731,11641,2331,8505,1657, Alabama,Tallapoosa
34631,2429,30577,10715,24606,8112,47200,13974,26673,6859, Alabama,Tuscaloosa
5072,93,7572,942,7437,1109,17582,1863,12191,1166, Alabama,Walker
1407,14,1670,213,1681,257,4948,640,3047,327, Alabama,Washington
990,10,1134,126,1289,179,2665,271,2026,313, Alabama,Wilcox
1702,75,2576,351,2638,359,6867,803,5075,688, Alabama,Winston
285,14,507,43,518,85,1273,152,318,21, Alaska,Aleutians East Borough
589,57,1004,161,867,187,1909,330,347,25, Alaska,Aleutians West Census Area
29785,2207,51245,16717,38010,15368,71742,25794,30873,11403, Alaska,Anchorage Municipality
1939,40,2852,394,1971,193,3677,427,1301,150, Alaska,Bethel Census Area
60,5,91,28,125,41,332,64,87,10, Alaska,Bristol Bay Borough
358,6,287,141,312,103,819,372,209,52, Alaska,Denali Borough
522,18,733,111,583,191,1080,218,499,119, Alaska,Dillingham Census Area
13283,1120,18396,5253,12183,3893,21568,7048,9699,3208, Alaska,Fairbanks North Star Borough
26,0,260,64,343,77,614,195,633,289, Alaska,Haines Borough
106,0,241,64,230,18,801,169,439,114, Alaska,Hoonah-Angoon Census Area
2722,250,4917,1612,4375,1652,9230,3701,4039,1701, Alaska,Juneau City and Borough
4566,261,7305,1344,7006,1796,16709,4189,9631,2666, Alaska,Kenai Peninsula Borough
1125,59,1874,431,1735,491,3983,981,2050,534, Alaska,Ketchikan Gateway Borough
1056,67,2469,753,1851,568,3295,796,1319,384, Alaska,Kodiak Island Borough
910,3,1285,50,748,32,1523,70,454,5, Alaska,Kusilvak Census Area
152,5,225,58,203,44,381,29,109,17, Alaska,Lake and Peninsula Borough
8787,251,15094,2261,13969,3319,27184,6330,11939,2815, Alaska,Matanuska-Susitna Borough
1034,31,1526,209,1140,209,2152,392,702,81, Alaska,Nome Census Area
724,38,1584,320,1309,217,2941,406,671,132, Alaska,North Slope Borough
786,1,1235,134,787,67,1612,265,575,91, Alaska,Northwest Arctic Borough
413,7,331,98,300,94,847,254,717,177, Alaska,Petersburg Borough
449,15,776,125,694,93,1960,418,1027,178, Alaska,Prince of Wales-Hyder Census Area
617,69,1232,383,1252,457,2352,733,1310,478, Alaska,Sitka City and Borough
81,6,214,73,179,51,344,104,130,29, Alaska,Skagway Municipality
496,21,960,103,791,146,1829,441,938,200, Alaska,Southeast Fairbanks Census Area
607,15,1548,290,1018,425,2780,967,1134,316, Alaska,Valdez-Cordova Census Area
109,7,301,57,223,59,832,167,569,91, Alaska,Wrangell City and Borough
57,6,100,48,77,10,171,32,94,10, Alaska,Yakutat City and Borough
444,21,732,86,585,90,1355,165,770,127, Alaska,Yukon-Koyukuk Census Area
7011,27,9222,893,7717,858,17316,2299,10694,1479, Arizona,Apache
10842,321,15749,3095,13938,2965,30674,6673,27278,7520, Arizona,Cochise
28890,2046,19468,6510,15346,5744,31283,10883,16983,6905, Arizona,Coconino
3484,156,5255,566,4554,820,14322,2684,15199,3298, Arizona,Gila
4007,87,5684,759,4843,911,7977,1047,5202,875, Arizona,Graham
1040,0,1236,196,1331,343,2109,194,1178,58, Arizona,Greenlee
1345,11,1732,64,1715,203,4581,672,8025,989, Arizona,La Paz
403934,40492,630096,202853,565006,194883,1041899,340272,641814,203309, Arizona,Maricopa
12938,390,21182,2716,18844,2687,56982,6801,61383,8301, Arizona,Mohave
9295,154,13192,994,11788,2080,26483,3986,19062,3698, Arizona,Navajo
122270,10408,130050,38364,116999,37909,243394,76306,197361,70154, Arizona,Pima
34052,1468,57251,7529,56742,10568,99386,19847,85974,20526, Arizona,Pinal
4468,312,4994,711,5174,1124,11097,2202,8037,1950, Arizona,Santa Cruz
15123,542,20738,3652,20133,4011,64486,16019,69858,21659, Arizona,Yavapai
23724,620,29098,4651,22658,4339,42060,6075,38700,4847, Arizona,Yuma
1388,91,2070,438,2062,310,4886,801,3405,410, Arkansas,Arkansas
1812,19,1935,229,2381,396,5450,601,4036,477, Arkansas,Ashley
2385,62,3919,704,3897,977,11180,1978,12779,2023, Arkansas,Baxter
21374,2242,39328,15263,37825,14547,61483,18844,35271,9346, Arkansas,Benton
2741,128,4470,559,4260,659,9662,1778,7591,1197, Arkansas,Boone
758,20,1254,106,1410,173,2862,398,1994,401, Arkansas,Bradley
507,49,629,51,512,110,1474,109,1102,154, Arkansas,Calhoun
2028,81,3000,340,2868,559,7677,1714,6307,1600, Arkansas,Carroll
810,5,1263,138,1095,197,2963,457,2120,390, Arkansas,Chicot
4960,339,2202,643,2260,579,5075,1476,3634,810, Arkansas,Clark
1130,51,1635,206,1764,297,3985,545,3141,275, Arkansas,Clay
1606,55,2453,297,2654,332,6867,1225,6719,1052, Arkansas,Cleburne
621,29,860,133,956,192,2219,425,1664,176, Arkansas,Cleveland
4104,151,2519,676,2611,612,5466,963,4065,628, Arkansas,Columbia
1552,124,2419,328,2338,623,5790,942,3939,370, Arkansas,Conway
11625,1419,16399,4963,13981,4123,24074,5753,14510,3252, Arkansas,Craighead
5011,242,7897,1423,7621,1180,16462,2596,10276,1548, Arkansas,Crawford
4396,188,6411,1118,5792,1237,12145,1949,6619,1096, Arkansas,Crittenden
1332,39,1955,231,2055,315,4419,727,3084,388, Arkansas,Cross
570,27,823,89,720,140,1985,247,1617,134, Arkansas,Dallas
883,46,1388,158,1219,228,3032,490,2187,224, Arkansas,Desha
2690,197,2146,490,2030,636,4358,1020,3127,510, Arkansas,Drew
19018,2170,17547,6037,15486,5501,27778,8041,15058,3604, Arkansas,Faulkner
1497,53,1908,295,2034,530,4678,379,3397,255, Arkansas,Franklin
854,11,1100,80,1193,155,3436,457,3122,391, Arkansas,Fulton
7119,415,11271,1674,10946,2367,26250,5578,23000,5845, Arkansas,Garland
1335,27,2201,283,2231,548,5060,993,3228,556, Arkansas,Grant
3842,382,5873,1153,5709,1204,11416,1651,7076,851, Arkansas,Greene
1901,93,2151,326,2586,541,5687,686,3905,609, Arkansas,Hempstead
2410,127,4711,711,4133,530,9161,1178,6288,808, Arkansas,Hot Spring
1073,34,1518,214,1582,254,3335,475,2346,249, Arkansas,Howard
3312,151,4387,675,4475,987,9807,1692,6453,1052, Arkansas,Independence
957,34,1412,147,1393,160,4000,570,3390,455, Arkansas,Izard
1380,49,2571,296,2166,230,4484,414,2986,299, Arkansas,Jackson
7086,292,9111,1329,8081,1416,18087,3474,11625,2220, Arkansas,Jefferson
2575,127,3083,591,3242,484,6811,997,4285,607, Arkansas,Johnson
574,11,658,88,676,146,1987,365,1582,176, Arkansas,Lafayette
1591,58,1888,379,1853,436,4289,687,3199,228, Arkansas,Lawrence
765,9,1309,128,1280,147,2436,261,1729,190, Arkansas,Lee
1109,28,2387,130,2218,235,3679,292,2030,347, Arkansas,Lincoln
915,31,1324,173,1551,253,3272,331,2547,333, Arkansas,Little River
1617,80,2487,372,2488,323,6050,879,4284,469, Arkansas,Logan
5503,627,10727,2348,9936,2343,18042,3694,9549,1559, Arkansas,Lonoke
1216,39,1771,155,1788,349,4559,666,3061,420, Arkansas,Madison
912,36,1446,183,1505,400,5018,708,4631,860, Arkansas,Marion
3543,154,5825,911,5345,992,11355,1993,7136,1074, Arkansas,Miller
3781,148,5541,715,5058,721,10564,1396,6088,939, Arkansas,Mississippi
541,20,652,134,725,56,2046,183,1609,266, Arkansas,Monroe
617,4,788,11,891,126,2605,441,2403,324, Arkansas,Montgomery
606,0,851,103,897,109,2404,321,1693,320, Arkansas,Nevada
541,0,712,180,806,98,2217,473,1991,421, Arkansas,Newton
2019,162,2504,479,2489,375,6712,707,4675,809, Arkansas,Ouachita
778,39,1097,205,1157,250,2936,306,2062,157, Arkansas,Perry
1808,167,1865,258,2015,378,4744,463,3375,554, Arkansas,Phillips
892,7,1167,238,1265,272,2924,459,2169,332, Arkansas,Pike
1911,67,2931,323,2791,411,6314,616,4256,454, Arkansas,Poinsett
1369,69,2182,255,2151,279,5211,737,4509,710, Arkansas,Polk
8660,602,8472,2096,6780,1768,15517,3319,9732,2037, Arkansas,Pope
567,17,864,203,856,138,2343,384,1915,198, Arkansas,Prairie
34540,4978,58359,20821,50228,19600,99219,33306,58959,17814, Arkansas,Pulaski
1316,24,2170,332,2024,459,4513,614,3525,289, Arkansas,Randolph
2022,14,3559,334,3696,261,6486,612,4173,654, Arkansas,St. Francis
8709,614,15259,4807,16405,5135,30123,7151,20913,4980, Arkansas,Saline
736,16,1139,56,1081,153,2629,239,2150,204, Arkansas,Scott
523,32,795,78,774,164,2223,185,2001,262, Arkansas,Searcy
11775,571,16835,4288,15649,3371,32628,6346,19894,4117, Arkansas,Sebastian
1504,38,2068,233,2161,200,4085,489,2372,445, Arkansas,Sevier
1112,22,1572,136,1728,193,4671,438,4435,494, Arkansas,Sharp
822,54,1107,251,1243,184,3533,543,3335,301, Arkansas,Stone
3159,213,4688,1096,4617,1218,10654,2080,6804,1248, Arkansas,Union
1107,19,1538,173,1671,234,4758,671,4268,699, Arkansas,Van Buren
34263,3633,34977,13164,30625,10536,48937,15446,26461,7822, Arkansas,Washington
9202,844,9527,2453,9083,1971,19807,3960,12691,2275, Arkansas,White
466,30,628,48,714,94,1839,305,1481,208, Arkansas,Woodruff
1730,56,2329,333,2669,265,5754,748,3745,512, Arkansas,Yell
140065,23616,276019,151633,248230,134801,424387,185792,224026,83879, California,Alameda
68,14,66,11,148,41,245,29,311,185, California,Alpine
2287,0,4117,741,4294,791,11638,2131,10246,2174, California,Amador
32869,3310,28999,7053,24403,7311,53422,14018,40685,11767, California,Butte
2855,152,4104,620,4336,697,13889,2364,12519,2703, California,Calaveras
1935,38,2888,360,2559,392,5148,613,3082,687, California,Colusa
93870,11545,145275,55427,153127,70809,312894,134627,175882,72535, California,Contra Costa
1931,39,3985,533,3718,357,7214,1154,4727,863, California,Del Norte
13613,1419,19070,5349,21100,8288,58288,20978,38570,12380, California,El Dorado
99540,6251,150576,32763,122667,25719,213117,43107,117777,26330, California,Fresno
2540,151,3424,476,3370,476,6697,885,4460,704, California,Glenn
17340,1100,18413,4422,17177,5729,33355,9703,23518,8269, California,Humboldt
18723,771,26562,4647,22086,4409,38636,5220,22841,2484, California,Imperial
1164,47,1930,563,2097,633,5080,1402,4097,989, California,Inyo
91753,3315,137412,20171,112260,19465,193415,30459,94712,17999, California,Kern
16736,839,25371,3385,20661,3230,31821,4726,15063,2289, California,Kings
4369,110,6967,611,6880,835,18246,3226,14333,2540, California,Lake
3601,64,6307,393,4452,536,7477,1085,4379,914, California,Lassen
979915,111617,1623246,609824,1379814,489494,2547857,759623,1335978,382138, California,Los Angeles
15053,515,21551,2444,19330,2579,35215,5450,21431,3719, California,Madera
16907,3023,22640,11164,30897,19552,80696,50403,56170,32155, California,Marin
948,43,1895,324,1656,560,5291,1156,4790,1308, California,Mariposa
6517,314,9843,1796,10211,2295,23419,4703,18532,6363, California,Mendocino
30535,1794,39448,6198,33276,4374,57708,7274,29956,4272, California,Merced
415,8,1033,144,931,116,2375,228,2401,536, California,Modoc
1712,85,2115,414,1763,507,4000,1037,2049,903, California,Mono
43873,2577,62605,13633,56417,11449,99406,23994,57240,19030, California,Monterey
12199,921,17190,6124,17582,5974,37483,12886,25968,10107, California,Napa
6145,371,9607,2683,10911,4304,29228,10844,26254,10476, California,Nevada
295112,37804,456061,197632,412451,182642,844807,329973,455105,169839, California,Orange
28784,3012,42273,15759,49723,24296,104629,41926,73772,25397, California,Placer
1064,61,1774,389,1838,541,5817,1170,5050,1332, California,Plumas
237421,14036,334925,67986,308273,69939,576096,124708,340575,85304, California,Riverside
132797,11608,238929,76347,201047,64777,379008,114902,209596,61293, California,Sacramento
5740,318,8137,1284,7871,1419,15421,3211,7529,1772, California,San Benito
226843,14806,325532,68415,276105,63543,507022,102601,241961,48925, California,San Bernardino
346764,37182,545838,218356,441301,189821,805343,298792,454089,164813, California,San Diego
62085,21651,205361,157065,138126,92595,216862,102190,134981,51866, California,San Francisco
72447,4240,103464,18298,96140,19372,174770,32409,93081,17626, California,San Joaquin
43132,3656,32839,10694,30535,10875,70636,24325,54847,20918, California,San Luis Obispo
56629,12310,113405,65179,110150,65452,206858,100921,120877,49497, California,San Mateo
70553,7117,59202,19361,50350,15422,98977,32991,66563,26199, California,Santa Barbara
164130,35050,309599,187558,279571,164176,491614,241373,254174,106413, California,Santa Clara
40841,3929,33633,12263,31911,13159,71301,29012,43155,19077, California,Santa Cruz
14009,1015,22866,4698,19564,5381,47822,10117,36272,7848, California,Shasta
138,11,271,23,342,29,915,182,892,200, California,Sierra
2960,56,4437,502,4339,1101,12174,2804,10732,2936, California,Siskiyou
39291,2865,64538,16306,55270,15166,116582,31126,67309,19138, California,Solano
41268,3903,64563,19254,62062,20785,137776,48473,94913,39070, California,Sonoma
51945,2383,78604,13914,68638,13052,126705,19958,69679,11728, California,Stanislaus
8424,400,13439,2390,11760,1860,23009,4511,14418,2663, California,Sutter
4804,298,7723,1082,7135,1017,16685,2615,12307,2154, California,Tehama
687,13,1024,136,1410,253,4003,601,3410,932, California,Trinity
47389,1590,65493,9443,57735,8543,96592,14097,51531,7614, California,Tulare
3754,112,6554,856,5821,1315,15102,2980,13827,3320, California,Tuolumne
80330,7335,112915,33584,105041,35475,224562,79037,127628,44579, California,Ventura
43740,5166,29614,12684,25603,11082,45973,18155,26396,10930, California,Yolo
7249,495,12193,1925,9422,1872,17043,2597,9375,1799, California,Yuba
43993,3490,82216,21975,74004,19894,116930,25780,51105,11041, Colorado,Adams
2555,200,2290,596,1789,497,3410,850,2130,466, Colorado,Alamosa
53084,7607,100383,41642,91892,40022,163501,70972,82111,34569, Colorado,Arapahoe
814,10,1275,408,1369,455,4109,1539,3384,1365, Colorado,Archuleta
205,19,388,106,402,99,892,181,926,172, Colorado,Baca
375,13,1120,63,1034,93,1347,166,1033,195, Colorado,Bent
47309,7420,44811,27830,40645,26904,83205,52771,44094,24566, Colorado,Boulder
5153,945,10295,6105,10032,6316,17639,9825,9026,3952, Colorado,Broomfield
1090,46,2454,618,2243,619,5927,2139,4899,1868, Colorado,Chaffee
80,0,200,81,242,74,561,75,335,27, Colorado,Cheyenne
614,43,990,345,1136,515,3404,1783,1846,903, Colorado,Clear Creek
678,24,803,163,893,167,2077,431,1513,348, Colorado,Conejos
268,16,292,58,377,31,1101,239,1023,211, Colorado,Costilla
1162,57,969,100,681,47,1463,135,770,69, Colorado,Crowley
248,20,271,78,275,99,1549,540,1717,523, Colorado,Custer
2191,217,2836,384,3386,554,8344,2080,7727,1817, Colorado,Delta
57171,11081,162830,95541,111990,57470,152410,64759,81488,33729, Colorado,Denver
51,12,205,50,193,39,487,96,513,152, Colorado,Dolores
24967,3887,36795,20901,50603,32471,96024,55638,38417,19695, Colorado,Douglas
4183,438,8867,3848,8459,3701,15302,7194,5877,3418, Colorado,Eagle
1819,160,2250,738,2873,1237,9219,3371,3984,1218, Colorado,Elbert
76983,7435,110682,36412,88233,36898,166089,68511,87111,32323, Colorado,El Paso
2884,118,6953,829,6271,875,13708,2703,10010,2413, Colorado,Fremont
4777,358,8110,2354,8348,2744,15363,4290,7477,2791, Colorado,Garfield
277,69,486,202,963,344,2395,812,1079,590, Colorado,Gilpin
1053,155,2234,589,1952,811,4834,1658,2561,1338, Colorado,Grand
3293,532,2304,1328,2080,1173,4031,2425,2186,1033, Colorado,Gunnison
16,0,69,29,78,46,346,135,210,111, Colorado,Hinsdale
389,12,523,47,588,136,2022,406,2083,514, Colorado,Huerfano
102,1,116,36,126,14,375,58,357,87, Colorado,Jackson
44894,6512,84122,40034,77039,40412,161695,70078,91969,36863, Colorado,Jefferson
100,7,154,28,122,43,352,94,368,48, Colorado,Kiowa
453,18,1056,248,903,106,1874,355,1365,263, Colorado,Kit Carson
788,97,1476,490,1151,429,2118,650,818,230, Colorado,Lake
5234,962,7624,3027,7383,3527,15616,6822,9150,4212, Colorado,La Plata
49609,8363,50079,23321,42361,21908,82186,38431,52161,23529, Colorado,Larimer
1207,28,1724,229,1531,354,3895,582,3377,893, Colorado,Las Animas
345,3,951,53,862,104,1333,180,971,181, Colorado,Lincoln
2627,163,3072,613,2512,669,5733,913,3838,868, Colorado,Logan
14014,1021,20039,4882,17885,5208,38171,11031,28079,8271, Colorado,Mesa
31,0,78,9,84,32,314,149,221,134, Colorado,Mineral
873,9,2005,281,1534,286,3546,607,1808,389, Colorado,Moffat
1728,77,2744,705,2714,985,7549,1963,5605,1857, Colorado,Montezuma
2883,168,4191,868,4613,1153,11285,2703,9635,2763, Colorado,Montrose
2690,99,3752,629,3357,689,6908,1100,4384,798, Colorado,Morgan
1735,35,1907,289,2210,433,4349,909,3671,627, Colorado,Otero
182,29,395,143,568,316,1558,730,1330,651, Colorado,Ouray
936,108,1796,279,2030,863,6757,1870,3566,1204, Colorado,Park
347,13,566,137,498,132,995,273,741,125, Colorado,Phillips
1364,358,2855,1609,2173,1481,5460,3176,3192,2050, Colorado,Pitkin
1177,69,1347,226,1325,288,3010,543,2092,368, Colorado,Prowers
14888,934,21420,4092,19673,4162,42174,9635,30198,6790, Colorado,Pueblo
624,14,828,228,706,194,1706,400,973,136, Colorado,Rio Blanco
1039,33,1067,241,1498,286,2894,712,2196,634, Colorado,Rio Grande
1933,161,3824,1626,3578,1821,7474,3678,3664,2116, Colorado,Routt
326,18,602,110,683,164,2069,383,1475,410, Colorado,Saguache
28,0,72,47,55,7,212,62,146,57, Colorado,San Juan
555,196,1305,815,1214,696,2442,1298,1088,784, Colorado,San Miguel
124,10,227,41,233,57,617,106,537,111, Colorado,Sedgwick
2313,172,5681,3043,4950,2016,8814,4316,3914,2857, Colorado,Summit
1470,142,2315,845,2534,841,8719,3096,5163,2280, Colorado,Teller
367,31,593,79,542,89,1278,228,977,125, Colorado,Washington
28403,1662,46287,12723,41478,12724,72558,19408,36217,9251, Colorado,Weld
694,71,1329,337,1027,326,2465,424,1825,359, Colorado,Yuma
86139,17433,107749,51924,117977,61495,270938,136250,146621,58730, Connecticut,Fairfield
81162,13537,117499,53423,109578,47573,246256,91292,149889,45205, Connecticut,Hartford
13693,2327,18550,7473,19184,7755,59428,20301,37457,12129, Connecticut,Litchfield
14407,2547,18165,9026,18113,9274,50983,20277,32072,11722, Connecticut,Middlesex
85479,12907,114190,47767,100830,40245,236439,78686,145741,42304, Connecticut,New Haven
27032,3541,34676,11611,29742,10570,76118,25301,47421,15154, Connecticut,New London
28401,2551,16299,8009,15475,7976,41173,16233,23140,7955, Connecticut,Tolland
11833,843,14614,3977,13840,3632,34226,7683,18712,4513, Connecticut,Windham
17884,1501,23877,6160,20521,5781,44239,10417,29417,5672, Delaware,Kent
52190,5536,80574,30717,68634,27712,149850,53715,84268,26483, Delaware,New Castle
14170,1194,23167,5513,21443,5791,62841,17947,60489,18230, Delaware,Sussex
74637,16794,161872,117079,102301,65066,146273,70172,83670,36942, District of Columbia,District of Columbia
55877,9001,41237,19117,28747,14400,55527,22541,36313,14034, Florida,Alachua
2413,119,4089,492,3444,465,7659,1089,3873,479, Florida,Baker
14774,1064,25802,5468,22080,6122,49508,11285,31048,7588, Florida,Bay
2020,43,4417,414,3494,142,7101,686,4867,717, Florida,Bradford
42929,3573,65424,19527,60485,19941,171755,53534,137161,38164, Florida,Brevard
153829,15569,260432,86914,257142,94132,530561,173327,314061,87116, Florida,Broward
936,48,2129,219,1866,113,3774,286,2755,383, Florida,Calhoun
9417,444,13590,2299,13528,2489,50581,11221,71735,19022, Florida,Charlotte
8096,346,11647,1373,11527,2006,39693,6985,52661,10777, Florida,Citrus
17134,1132,26416,5700,27292,7976,58315,14266,32543,8120, Florida,Clay
24739,2464,35543,9437,36164,10541,93216,30664,117197,52067, Florida,Collier
6334,124,8896,1132,8144,1348,18624,2728,12791,1990, Florida,Columbia
3260,64,5259,328,4467,302,8706,941,8002,1478, Florida,DeSoto
1060,35,1908,181,1981,139,4865,447,3773,535, Florida,Dixie
84500,8055,154153,49103,118636,40172,238402,68017,128443,34883, Florida,Duval
36828,3831,45668,13032,34248,9448,79225,20575,51909,12945, Florida,Escambia
7117,308,9693,1947,10783,2451,30454,6979,32922,9661, Florida,Flagler
790,20,1689,105,1389,131,3364,681,2681,795, Florida,Franklin
3751,176,5545,881,6065,820,12584,2043,7957,1471, Florida,Gadsden
1947,46,1850,191,1950,212,4832,692,3637,547, Florida,Gilchrist
1224,17,1541,104,1513,159,3520,328,3638,548, Florida,Glades
1084,35,2279,321,1900,277,4554,905,3221,797, Florida,Gulf
1206,21,2258,129,1726,69,3973,404,2431,221, Florida,Hamilton
2550,44,3674,251,3319,268,6192,766,4285,501, Florida,Hardee
4079,19,5511,279,5040,333,9775,952,5345,566, Florida,Hendry
12458,513,18903,2969,18977,3875,50355,9541,51205,9331, Florida,Hernando
6637,254,9821,1213,8963,1781,23835,3859,36409,6738, Florida,Highlands
128805,16343,217291,78597,194383,75043,363958,119615,198181,53176, Florida,Hillsborough
1558,49,2548,275,2301,260,5381,569,3850,405, Florida,Holmes
10190,908,13356,2963,14046,3424,41417,11445,49685,16680, Florida,Indian River
3911,175,6495,493,6511,733,12854,1823,9234,1367, Florida,Jackson
874,49,1632,170,1821,291,4278,1076,3249,910, Florida,Jefferson
800,0,1338,163,1219,157,2193,159,1188,219, Florida,Lafayette
23086,1479,37265,9435,37424,10626,89367,19429,91815,21918, Florida,Lake
51070,4011,80451,19182,76241,19460,190985,51299,207169,66765, Florida,Lee
63332,8460,41897,20316,31338,14545,61608,27654,37380,17097, Florida,Leon
2841,42,4311,326,4092,761,11478,1237,9734,1285, Florida,Levy
1007,57,1149,198,1128,110,2405,332,1280,218, Florida,Liberty
1403,41,2640,330,2188,402,5051,598,3716,576, Florida,Madison
25835,2105,40464,10300,39446,11858,103456,28768,103677,34557, Florida,Manatee
23996,1042,37966,6329,34708,7030,89635,16887,101238,22757, Florida,Marion
10160,851,14484,3822,14563,5302,44909,15367,48674,17304, Florida,Martin
232071,23148,385096,131025,372333,129495,725759,214149,430906,95456, Florida,Miami-Dade
4851,422,9409,3024,9227,2958,24067,8321,16789,6164, Florida,Monroe
5457,593,9372,1950,9792,3010,24034,6604,17884,6489, Florida,Nassau
18465,1804,32580,10004,24426,7401,51027,15865,32045,10310, Florida,Okaloosa
