,state,county,Donald Trump,Joe Biden,Others
121,Arizona,Yuma,36534.0,32210.0,1182.0
122,Arkansas,Arkansas,4304.0,1818.0,170.0
123,Arkansas,Ashley,5548.0,2125.0,253.0
124,Arkansas,Baxter,15836.0,4635.0,536.0
125,Arkansas,Benton,73965.0,42249.0,3698.0
126,Arkansas,Boone,13652.0,3064.0,398.0
127,Arkansas,Bradley,2335.0,1214.0,105.0
128,Arkansas,Calhoun,1636.0,479.0,67.0
129,Arkansas,Carroll,7424.0,4023.0,350.0
130,Arkansas,Chicot,1752.0,2260.0,91.0
131,Arkansas,Clark,4616.0,3438.0,341.0
132,Arkansas,Clay,4086.0,962.0,135.0
133,Arkansas,Cleburne,10328.0,1988.0,364.0
134,Arkansas,Cleveland,2867.0,651.0,82.0
135,Arkansas,Columbia,5500.0,2814.0,302.0
136,Arkansas,Conway,5694.0,2615.0,376.0
137,Arkansas,Craighead,25558.0,11921.0,1032.0
138,Arkansas,Crawford,18607.0,4959.0,525.0
139,Arkansas,Crittenden,7333.0,8514.0,520.0
140,Arkansas,Cross,4946.0,1772.0,224.0
141,Arkansas,Dallas,1573.0,963.0,113.0
142,Arkansas,Desha,1921.0,2016.0,227.0
143,Arkansas,Drew,4349.0,2426.0,133.0
144,Arkansas,Faulkner,34421.0,18347.0,1660.0
145,Arkansas,Franklin,5677.0,1300.0,152.0
146,Arkansas,Fulton,3961.0,1035.0,123.0
147,Arkansas,Garland,29069.0,14045.0,1085.0
148,Arkansas,Grant,6794.0,1268.0,138.0
149,Arkansas,Greene,12670.0,3058.0,372.0
150,Arkansas,Hempstead,4470.0,2138.0,240.0
151,Arkansas,Hot Spring,9202.0,3082.0,273.0
152,Arkansas,Howard,3367.0,1340.0,127.0
153,Arkansas,Independence,11250.0,2806.0,456.0
154,Arkansas,Izard,4631.0,1021.0,158.0
155,Arkansas,Jackson,3593.0,1365.0,133.0
156,Arkansas,Jefferson,9521.0,14981.0,656.0
157,Arkansas,Johnson,6938.0,2283.0,277.0
158,Arkansas,Lafayette,1757.0,839.0,83.0
159,Arkansas,Lawrence,4569.0,1080.0,208.0
160,Arkansas,Lee,1286.0,1423.0,139.0
161,Arkansas,Lincoln,2729.0,1032.0,114.0
162,Arkansas,Little River,3715.0,1226.0,236.0
163,Arkansas,Logan,6441.0,1544.0,240.0
164,Arkansas,Lonoke,22884.0,6686.0,1092.0
165,Arkansas,Madison,5658.0,1563.0,130.0
166,Arkansas,Marion,5783.0,1531.0,189.0
167,Arkansas,Miller,11920.0,4245.0,364.0
168,Arkansas,Mississippi,7296.0,4558.0,488.0
169,Arkansas,Monroe,1545.0,1147.0,124.0
170,Arkansas,Montgomery,3046.0,731.0,96.0
171,Arkansas,Nevada,2133.0,1076.0,149.0
172,Arkansas,Newton,3192.0,709.0,97.0
173,Arkansas,Ouachita,5294.0,3995.0,340.0
174,Arkansas,Perry,3479.0,1012.0,136.0
175,Arkansas,Phillips,2417.0,3623.0,202.0
176,Arkansas,Pike,3519.0,644.0,83.0
177,Arkansas,Poinsett,5918.0,1424.0,179.0
178,Arkansas,Polk,7035.0,1246.0,209.0
179,Arkansas,Pope,18081.0,5772.0,579.0
180,Arkansas,Prairie,2786.0,654.0,55.0
181,Arkansas,Pulaski,63687.0,101947.0,4322.0
182,Arkansas,Randolph,5355.0,1215.0,242.0
183,Arkansas,Saline,39556.0,16060.0,1343.0
184,Arkansas,Scott,2962.0,483.0,106.0
185,Arkansas,Searcy,3365.0,588.0,66.0
186,Arkansas,Sebastian,31198.0,14487.0,1455.0
187,Arkansas,Sevier,3884.0,1116.0,202.0
188,Arkansas,Sharp,5938.0,1398.0,230.0
189,Arkansas,St. Francis,3242.0,3604.0,262.0
190,Arkansas,Stone,4616.0,1180.0,142.0
191,Arkansas,Union,10478.0,5584.0,545.0
192,Arkansas,Van Buren,6034.0,1593.0,180.0
193,Arkansas,Washington,47504.0,43824.0,2938.0
194,Arkansas,White,24182.0,5978.0,725.0
195,Arkansas,Woodruff,1543.0,856.0,77.0
196,Arkansas,Yell,5226.0,1284.0,231.0
197,California,Alameda,136309.0,617659.0,15896.0
198,California,Alpine,244.0,476.0,21.0
199,California,Amador,13585.0,8153.0,564.0
200,California,Butte,48730.0,50426.0,2886.0
201,California,Calaveras,16518.0,10046.0,600.0
202,California,Colusa,4554.0,3234.0,163.0
203,California,Contra Costa,152877.0,416386.0,11967.0
204,California,Del Norte,6461.0,4677.0,314.0
205,California,El Dorado,61838.0,51621.0,2679.0
206,California,Fresno,164464.0,193025.0,7320.0
207,California,Glenn,7063.0,3995.0,234.0
208,California,Humboldt,21770.0,44768.0,2290.0
209,California,Imperial,20847.0,34678.0,1193.0
210,California,Inyo,4620.0,4634.0,227.0
211,California,Kern,164484.0,133366.0,7376.0
212,California,Kings,24072.0,18699.0,1087.0
213,California,Lake,13123.0,14941.0,736.0
214,California,Lassen,8970.0,2799.0,216.0
215,California,Los Angeles,1145530.0,3028885.0,89028.0
216,California,Madera,29378.0,23168.0,1176.0
217,California,Marin,24612.0,128288.0,2901.0
218,California,Mariposa,5950.0,4088.0,242.0
219,California,Mendocino,13267.0,28782.0,1287.0
220,California,Merced,39397.0,48991.0,2153.0
221,California,Modoc,3109.0,1150.0,79.0
222,California,Mono,2513.0,4013.0,211.0
223,California,Monterey,46299.0,113953.0,3631.0
224,California,Napa,20676.0,49817.0,1629.0
225,California,Nevada,26779.0,36359.0,1600.0
226,California,Orange,676498.0,814009.0,31218.0
227,California,Placer,122488.0,106869.0,5660.0
228,California,Plumas,6445.0,4561.0,250.0
229,California,Riverside,448702.0,527945.0,19509.0
230,California,Sacramento,259405.0,440808.0,18077.0
231,California,San Benito,10590.0,17628.0,603.0
232,California,San Bernardino,366257.0,455859.0,18815.0
233,California,San Diego,600094.0,964650.0,36978.0
234,California,San Francisco,56417.0,378156.0,8885.0
235,California,San Joaquin,121098.0,161137.0,6208.0
236,California,San Luis Obispo,67436.0,88310.0,3935.0
237,California,San Mateo,75563.0,291410.0,7165.0
238,California,Santa Barbara,65736.0,129963.0,4589.0
239,California,Santa Clara,214612.0,617967.0,17943.0
240,California,Santa Cruz,26937.0,114246.0,3613.0
241,California,Shasta,60789.0,30000.0,2111.0
242,California,Sierra,1142.0,730.0,58.0
243,California,Siskiyou,13290.0,9593.0,567.0
244,California,Solano,69306.0,131639.0,4886.0
245,California,Sonoma,61825.0,199938.0,6489.0
246,California,Stanislaus,104145.0,105841.0,4890.0
247,California,Sutter,24375.0,17367.0,898.0
248,California,Tehama,19141.0,8911.0,669.0
249,California,Trinity,3188.0,2851.0,219.0
250,California,Tulare,77579.0,66105.0,3148.0
251,California,Tuolumne,17689.0,11978.0,734.0
252,California,Ventura,162207.0,251388.0,9103.0
253,California,Yolo,27292.0,67598.0,2374.0
254,California,Yuba,17676.0,11230.0,881.0
255,Colorado,Adams,95657.0,134202.0,6876.0
256,Colorado,Alamosa,3813.0,3759.0,236.0
257,Colorado,Arapahoe,127323.0,213607.0,9253.0
258,Colorado,Archuleta,5189.0,3738.0,217.0
259,Colorado,Baca,1867.0,317.0,41.0
260,Colorado,Bent,1503.0,732.0,39.0
261,Colorado,Boulder,42501.0,159089.0,4521.0
262,Colorado,Broomfield,16295.0,29077.0,1260.0
263,Colorado,Chaffee,6222.0,7160.0,335.0
264,Colorado,Cheyenne,993.0,131.0,12.0
265,Colorado,Clear Creek,2754.0,3604.0,190.0
266,Colorado,Conejos,2286.0,1959.0,88.0
267,Colorado,Costilla,741.0,1311.0,42.0
